"Factor_1","Factor_2","Factor_3","Factor_4","Factor_5","Variable"
-0.0817723990604924,0.536347630997372,0.400169075153616,-0.0066779262257266,-0.0124878339169513,"Spend_Wine"
0.861194249051115,-0.114971394341073,0.0626808375345272,-0.00183559455804129,0.0376773061926052,"Spend_OrganicFood"
0.532153274719481,0.381289951772158,-0.0478265003865226,-0.0478068096639866,-0.0552246496526002,"Spend_Meat"
0.875069458317941,-0.00130882520330219,-0.0505560899900849,-0.00566533707215865,0.0306082250001279,"Spend_WellnessProducts"
0.854540102518229,-0.0663707569123463,0.032603840666632,0.000738278233056481,0.045700213851324,"Spend_Treats"
0.381615855079035,0.218920832964669,0.106539331392181,0.109101414139749,0.0962119945441738,"Spend_LuxuryGoods"
0.0660382590855785,0.218757120805704,0.460787922871641,0.023805297761412,0.610082907251458,"Purchases_Online"
0.140233073205697,1.01070023246205,-0.18607784130312,0.0680195379363847,-0.139549033742931,"Purchases_Catalog"
0.0936887068155674,-0.19740075140694,1.05583899062772,0.112939454859366,-0.248953334766226,"Purchases_Store"
-0.328703129888399,-0.133646140442295,-0.0814149677501637,0.193906204861319,0.36687865976994,"Visits_OnlineLastMonth"
0.0121041407839551,0.111460015616206,0.237006446949119,1.01136749894252,-0.0149692104022725,"Promo_Purchases"
0.0708186455122467,-0.128342633344007,-0.202574986337685,-0.0652218274037491,0.9862457473908,"Online_Preference"
-0.00842971416989823,-0.108523437818614,-0.335548576434972,0.768335079726763,-0.107146674154279,"Promo_Response_Rate"
